Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
CCR3	ENSG00000183625	"C-C motif chemokine receptor 3"	P51677	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 63: Non-specific - Basic cellular processes"	1.6	0.0	0.2			"not detected"	"not detected"
CCR4	ENSG00000183813	"C-C motif chemokine receptor 4"	P51679	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	1.9	0.0	0.0			"not detected"	"not detected"
CCRL2	ENSG00000121797	"C-C motif chemokine receptor like 2"	O00421	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 66: Lymphoid tissue - Immune response"	1.0	4.9	7.0			"not detected"	"not detected"
CCS	ENSG00000173992	"Copper chaperone for superoxide dismutase"	O14618	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 70: Non-specific - Protein processing"	21.9	59.7	60.3	6151793.8	2423221.8	medium	medium
CCSAP	ENSG00000154429	"Centriole, cilia and spindle associated protein"	Q6IQ19	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 46: Brain & retina - Neuronal signaling"	2.1	11.2	0.1			"not detected"	"not detected"
CCSER2	ENSG00000107771	"Coiled-coil serine rich protein 2"	Q9H7U1	"Evidence at protein level"			"Cluster 1: T-cells - Unknown function"	"Cluster 41: Striated muscle - Muscle contraction"	62.0	11.4	0.2			low	low
CCT2	ENSG00000166226	"Chaperonin containing TCP1 subunit 2"	P78371	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 39: Testis - Nuclear processes"	106.2	346.9	32.0	27291819.9	16208933.1	"not detected"	"not detected"
CCT3	ENSG00000163468	"Chaperonin containing TCP1 subunit 3"	P49368	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 63: Non-specific - Basic cellular processes"	157.0	239.6	28.4	47717323.7	31649687.3	medium	medium
CCT4	ENSG00000115484	"Chaperonin containing TCP1 subunit 4"	P50991	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 54: Non-specific - Ribosome"	97.4	260.0	29.0	31586307.0	33767266.3	"not detected"	"not detected"
CCT5	ENSG00000150753	"Chaperonin containing TCP1 subunit 5"	P48643	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 63: Non-specific - Basic cellular processes"	122.5	243.3	16.4	32028753.1	23601081.7	low	low
CCT6A	ENSG00000146731	"Chaperonin containing TCP1 subunit 6A"	P40227	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 63: Non-specific - Basic cellular processes"	125.4	315.3	30.1	57525290.5	43665489.7	medium	medium
CCT6B	ENSG00000132141	"Chaperonin containing TCP1 subunit 6B"	Q92526	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 57: Testis - Spermatogenesis"	4.8	5.8	0.1			"not detected"	"not detected"
CCT7	ENSG00000135624	"Chaperonin containing TCP1 subunit 7"	Q99832	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 63: Non-specific - Basic cellular processes"	251.9	135.7	8.3	20959756.9	17422183.7	high	high
CCT8	ENSG00000156261	"Chaperonin containing TCP1 subunit 8"	P50990	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 63: Non-specific - Basic cellular processes"	138.5	268.0	24.4	69356544.4	75253518.6	medium	medium
CCZ1	ENSG00000122674	"CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"	P86791	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 63: Non-specific - Basic cellular processes"	16.0	29.7	2.1			low	low
CCZ1B	ENSG00000146574	"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated"	P86790	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 69: Parathyroid gland - Mixed function"	35.6	22.2	1.8			"not detected"	"not detected"
CD109	ENSG00000156535	"CD109 molecule"	Q6YHK3	"Evidence at protein level"				"Cluster 69: Parathyroid gland - Mixed function"	1.1	9.8	0.0	729218.1		"not detected"	"not detected"
CD14	ENSG00000170458	"CD14 molecule"	P08571	"Evidence at protein level"	"Secreted to blood"	Immunity	"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 76: Non-specific - Metabolism"	12.9	0.0	1.7	691221.4		"not detected"	"not detected"
CD151	ENSG00000177697	"CD151 molecule (Raph blood group)"	P48509	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 12: Smooth muscle tissue - ECM organization"	104.8	14.9	1.2	1508664.5		low	low
CD163	ENSG00000177575	"CD163 molecule"	Q86VB7	"Evidence at protein level"	"Secreted to blood"	"Acute phase"	"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 66: Lymphoid tissue - Immune response"	10.6	0.0	2.6			"not detected"	"not detected"
CD164	ENSG00000135535	"CD164 molecule"	Q04900	"Evidence at protein level"	"Intracellular and membrane"	"Cell adhesion"	"Cluster 5: Non-specific - Cell proliferation"	"Cluster 77: Intestine - Digestion"	87.5	171.3	33.5			medium	medium
CD1D	ENSG00000158473	"CD1d molecule"	P15813	"Evidence at protein level"			"Cluster 26: Monocytes - Plasma membrane proteins"	"Cluster 66: Lymphoid tissue - Immune response"	1.0	0.0	0.1			"not detected"	"not detected"
CD2	ENSG00000116824	"CD2 molecule"	P06729	"Evidence at protein level"			"Cluster 1: T-cells - Unknown function"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	1.3	0.0	0.3			"not detected"	"not detected"
CD200	ENSG00000091972	"CD200 molecule"	P41217	"Evidence at protein level"			"Cluster 34: B-cells - Unknown function"	"Cluster 65: Brain - Transcription"	1.7	0.0	0.0			low	low
CD24	ENSG00000272398	"CD24 molecule"	P25063	"Evidence at protein level"	"Intracellular and membrane"	"No annotated function"	"Cluster 29: Non-specific - Unknown function"	"Cluster 60: Stomach - Digestion"	1.3	0.0	1.5			"not detected"	"not detected"
CD247	ENSG00000198821	"CD247 molecule"	P20963	"Evidence at protein level"			"Cluster 27: T-cells - Unknown function"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	1.6	0.8	0.4			"not detected"	"not detected"
CD248	ENSG00000174807	"CD248 molecule"	Q9HCU0	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 14: Adipose tissue - Angiogenesis"	15.0	0.0	0.0	128167.1	313806.8	low	low
CD274	ENSG00000120217	"CD274 molecule"	Q9NZQ7	"Evidence at protein level"	"Secreted - unknown location"	Receptor	"Cluster 35: Neutrophils - Protein binding"	"Cluster 66: Lymphoid tissue - Immune response"	4.3	2.0	0.3			"not detected"	"not detected"
CD276	ENSG00000103855	"CD276 molecule"	Q5ZPR3	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	5.4	0.0	0.0			"not detected"	"not detected"
