Gene	Ensembl	"Gene description"	Uniprot	Evidence	"Secretome location"	"Secretome function"	"Blood expression cluster"	"Tissue expression cluster"	"Tissue RNA - skeletal muscle [nTPM]"	"Single Cell Type RNA - Erythrocyte progenitors [nCPM]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Cell type protein - Capillaries [Intensity]"	"Cell type protein - Skeletal myofibers [Intensity]"	"Tissue Annotation (IH) - skeletal muscle"	"Tissue Cell type Annotation (IH) - skeletal muscle - myocytes"
A2M	ENSG00000175899	Alpha-2-macroglobulin	P01023	"Evidence at protein level"	"Secreted to blood"	"Enzyme inhibitor"	"Cluster 1: T-cells - Unknown function"	"Cluster 14: Adipose tissue - Angiogenesis"	138.4	0.9	0.3	105860188.9	169395385.1	"not detected"	"not detected"
A4GALT	ENSG00000128274	"Alpha 1,4-galactosyltransferase (P blood group)"	Q9NPC4	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	18.7	2.1	0.0				
AAAS	ENSG00000094914	"Aladin WD repeat nucleoporin"	Q9NRG9	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 49: Non-specific - Transcription"	20.8	43.4	12.5	4631846.0	1337857.9	medium	medium
AACS	ENSG00000081760	"Acetoacetyl-CoA synthetase"	Q86V21	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 58: Skin - Keratinization"	5.4	7.2	0.0	471057.8		medium	medium
AADAT	ENSG00000109576	"Aminoadipate aminotransferase"	Q8N5Z0	"Evidence at protein level"				"Cluster 45: Liver - Metabolism & Coagulation"	3.7	0.4	0.0			"not detected"	"not detected"
AAGAB	ENSG00000103591	"Alpha and gamma adaptin binding protein"	Q6PD74	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 76: Non-specific - Metabolism"	30.0	56.1	3.4			low	low
AAK1	ENSG00000115977	"AP2 associated kinase 1"	Q2M2I8	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 69: Parathyroid gland - Mixed function"	7.8	20.9	7.2	361864.5		"not detected"	"not detected"
AAMDC	ENSG00000087884	"Adipogenesis associated Mth938 domain containing"	Q9H7C9	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 25: Non-specific - Basic cellular processes"	621.6	21.8	1.7	14987490.6	169080885.2	"not detected"	"not detected"
AAMP	ENSG00000127837	"Angio associated migratory cell protein"	Q13685	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 70: Non-specific - Protein processing"	88.8	56.9	3.5	302238.7	192361.9	"not detected"	"not detected"
AAR2	ENSG00000131043	"AAR2 splicing factor"	Q9Y312	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 12: Smooth muscle tissue - ECM organization"	22.2	20.2	2.0				
AARS1	ENSG00000090861	"Alanyl-tRNA synthetase 1"	P49588	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 70: Non-specific - Protein processing"	54.1	62.7	7.2	17550619.3	15202988.6	low	low
AARS2	ENSG00000124608	"Alanyl-tRNA synthetase 2, mitochondrial"	Q5JTZ9	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	4.5	12.0	0.0	3480279.3	1379363.7	medium	medium
AARSD1	ENSG00000266967	"Alanyl-tRNA synthetase domain containing 1"	Q9BTE6	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 25: Non-specific - Basic cellular processes"	64.7	1.8	1.5	3620542.2	1134946.7	"not detected"	"not detected"
AASDH	ENSG00000157426	"Aminoadipate-semialdehyde dehydrogenase"	Q4L235	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 61: Non-specific - Transcription"	3.9	28.7	4.7			high	high
AASDHPPT	ENSG00000149313	"Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	Q9NRN7	"Evidence at protein level"			"Cluster 1: T-cells - Unknown function"	"Cluster 10: Brain - Synaptic signal transduction"	30.8	70.5	2.5	4760678.9	2417163.6	low	low
AASS	ENSG00000008311	"Aminoadipate-semialdehyde synthase"	Q9UDR5	"Evidence at protein level"				"Cluster 31: Liver - Metabolism & Coagulation"	9.5	11.6	0.0	19479710.2	136714.9	low	low
AATF	ENSG00000275700	"Apoptosis antagonizing transcription factor"	Q9NY61	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 54: Non-specific - Ribosome"	37.2	24.0	1.8	78110.3		medium	medium
ABAT	ENSG00000183044	"4-aminobutyrate aminotransferase"	P80404	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 36: Brain & Liver - Signaling"	1.6	2.8	2.1	4136024.0		"not detected"	"not detected"
ABCA1	ENSG00000165029	"ATP binding cassette subfamily A member 1"	O95477	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 76: Non-specific - Metabolism"	10.3	4.4	4.5			medium	medium
ABCA10	ENSG00000154263	"ATP binding cassette subfamily A member 10"	Q8WWZ4	"Evidence at protein level"				"Cluster 75: Ovary - Mixed function"	5.6	2.8	0.0			low	low
ABCA2	ENSG00000107331	"ATP binding cassette subfamily A member 2"	Q9BZC7	"Evidence at protein level"			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 3: Oligodendrocytes - Myelination"	6.7	0.1	0.1			medium	medium
ABCA3	ENSG00000167972	"ATP binding cassette subfamily A member 3"	Q99758	"Evidence at protein level"				"Cluster 73: Brain - Neuronal signaling"	5.9	3.2	1.5			medium	medium
ABCA5	ENSG00000154265	"ATP binding cassette subfamily A member 5"	Q8WWZ7	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 63: Non-specific - Basic cellular processes"	30.4	18.5	3.2		3741288.9	high	high
ABCA6	ENSG00000154262	"ATP binding cassette subfamily A member 6"	Q8N139	"Evidence at protein level"				"Cluster 45: Liver - Metabolism & Coagulation"	5.1	0.2	0.0	166525.0			
ABCA7	ENSG00000064687	"ATP binding cassette subfamily A member 7"	Q8IZY2	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	7.5	63.3	4.7			"not detected"	"not detected"
ABCA8	ENSG00000141338	"ATP binding cassette subfamily A member 8"	O94911	"Evidence at protein level"				"Cluster 35: Non-specific - Mixed function"	11.5	0.0	0.0	27040559.5	532785.3	"not detected"	"not detected"
ABCA9	ENSG00000154258	"ATP binding cassette subfamily A member 9"	Q8IUA7	"Evidence at protein level"				"Cluster 75: Ovary - Mixed function"	12.7	0.0	0.0	60788.2		medium	medium
ABCB10	ENSG00000135776	"ATP binding cassette subfamily B member 10"	Q9NRK6	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 15: Bone marrow - Innate immune response"	12.0	338.0	62.7	7012001.2	3643932.4	medium	medium
ABCB4	ENSG00000005471	"ATP binding cassette subfamily B member 4"	P21439	"Evidence at protein level"			"Cluster 34: B-cells - Unknown function"	"Cluster 45: Liver - Metabolism & Coagulation"	7.0	4.9	1.5			"not detected"	"not detected"
ABCB6	ENSG00000115657	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	Q9NP58	"Evidence at protein level"	"Intracellular and membrane"	Transport	"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 24: Non-specific - Transcription"	26.6	0.3	1.5	6452709.9	2063002.9	medium	medium
ABCB7	ENSG00000131269	"ATP binding cassette subfamily B member 7"	O75027	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 52: Non-specific - Cellular respiration"	29.2	104.9	9.7	28620520.5	1795108.7	"not detected"	"not detected"
ABCB8	ENSG00000197150	"ATP binding cassette subfamily B member 8"	Q9NUT2	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 70: Non-specific - Protein processing"	7.4	30.9	1.7	5492256.9	602963.2	medium	medium
ABCB9	ENSG00000150967	"ATP binding cassette subfamily B member 9"	Q9NP78	"Evidence at protein level"			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 27: Cerebellum - Synaptic function"	1.6	10.8	7.9			"not detected"	"not detected"
ABCC1	ENSG00000103222	"ATP binding cassette subfamily C member 1"	P33527	"Evidence at protein level"				"Cluster 12: Smooth muscle tissue - ECM organization"	14.1	5.6	0.1	166099.4	115030.9	"not detected"	"not detected"
ABCC10	ENSG00000124574	"ATP binding cassette subfamily C member 10"	Q5T3U5	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 64: Non-specific - Transcription"	7.5	8.7	0.2	306444.3		medium	medium
ABCC12	ENSG00000140798	"ATP binding cassette subfamily C member 12"		"Evidence at transcript level"				"Cluster 61: Non-specific - Transcription"	1.3	0.0	0.0				
ABCC2	ENSG00000023839	"ATP binding cassette subfamily C member 2"	Q92887	"Evidence at protein level"				"Cluster 45: Liver - Metabolism & Coagulation"	1.0	1.1	0.1			"not detected"	"not detected"
ABCC4	ENSG00000125257	"ATP binding cassette subfamily C member 4"	O15439	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 38: Non-specific - Basic cellular processes"	4.7	193.9	23.9			"not detected"	"not detected"
ABCC5	ENSG00000114770	"ATP binding cassette subfamily C member 5"	O15440	"Evidence at protein level"			"Cluster 41: Basophils - Unknown function"	"Cluster 25: Non-specific - Basic cellular processes"	118.1	146.7	9.6			"not detected"	"not detected"
ABCC6	ENSG00000091262	"ATP binding cassette subfamily C member 6"	O95255	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 31: Liver - Metabolism & Coagulation"	3.6	0.0	0.0				
ABCC9	ENSG00000069431	"ATP binding cassette subfamily C member 9"	O60706	"Evidence at protein level"				"Cluster 76: Non-specific - Metabolism"	28.4	0.0	0.0	1361055.8	2678883.3		
ABCD1	ENSG00000101986	"ATP binding cassette subfamily D member 1"	P33897	"Evidence at protein level"			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 24: Non-specific - Transcription"	19.5	0.3	0.0	1258068.7	198130.9	medium	medium
ABCD3	ENSG00000117528	"ATP binding cassette subfamily D member 3"	P28288	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 16: Liver & Kidney - Metabolism"	22.0	39.5	4.8	3068369.7	395747.7	medium	medium
ABCD4	ENSG00000119688	"ATP binding cassette subfamily D member 4"	O14678	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 26: Kidney & Intestine - Metabolism"	3.7	11.4	0.1	227189.2		low	low
ABCE1	ENSG00000164163	"ATP binding cassette subfamily E member 1"	P61221	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 61: Non-specific - Transcription"	27.0	136.6	8.1	4774575.5	1043294.5	"not detected"	"not detected"
ABCF1	ENSG00000204574	"ATP binding cassette subfamily F member 1"	Q8NE71	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 24: Non-specific - Transcription"	90.7	60.0	3.9	4043348.4	8832283.9	medium	medium
ABCF2	ENSG00000033050	"ATP binding cassette subfamily F member 2"	Q9UG63	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 25: Non-specific - Basic cellular processes"	38.4	1.1	0.0	729509.1	426349.3	"not detected"	"not detected"
ABCF2-H2BK1	ENSG00000285292	"ABCF2-H2BK1 readthrough"		"Evidence at protein level"			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 63: Non-specific - Basic cellular processes"	37.0	0.0	0.0			"not detected"	"not detected"
ABCF3	ENSG00000161204	"ATP binding cassette subfamily F member 3"	Q9NUQ8	"Evidence at protein level"			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 4: Adrenal gland - Steroid metabolism"	49.5	9.6	0.6	3285299.9	3155596.5	medium	medium
ABCG1	ENSG00000160179	"ATP binding cassette subfamily G member 1"	P45844	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 66: Lymphoid tissue - Immune response"	18.9	2.0	0.5			low	low
ABHD1	ENSG00000143994	"Abhydrolase domain containing 1"	Q96SE0	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 67: Testis - Mixed function"	1.8	0.1	0.0			low	low
ABHD10	ENSG00000144827	"Abhydrolase domain containing 10, depalmitoylase"	Q9NUJ1	"Evidence at protein level"			"Cluster 32: Basophils - Transcription"	"Cluster 76: Non-specific - Metabolism"	13.2	22.3	7.6	26766338.1	7640681.6	low	low
ABHD11	ENSG00000106077	"Abhydrolase domain containing 11"	Q8NFV4	"Evidence at protein level"			"Cluster 40: Monocytes - Innate immune response"	"Cluster 70: Non-specific - Protein processing"	10.9	10.2	0.1	56764172.8	18398822.4	medium	medium
ABHD12	ENSG00000100997	"Abhydrolase domain containing 12, lysophospholipase"	Q8N2K0	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 3: Oligodendrocytes - Myelination"	13.7	30.8	3.3	519454.3		"not detected"	"not detected"
ABHD13	ENSG00000139826	"Abhydrolase domain containing 13"	Q7L211	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 44: Bone marrow - Nuclear processes"	4.0	14.7	3.3			medium	medium
ABHD14A	ENSG00000248487	"Abhydrolase domain containing 14A"	Q9BUJ0	"Evidence at protein level"			"Cluster 11: T-cells - Unknown function"	"Cluster 1: Choroid plexus - Transmembrane transport"	32.5	4.3	0.5			low	low
ABHD14B	ENSG00000114779	"Abhydrolase domain containing 14B"	Q96IU4	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 76: Non-specific - Metabolism"	25.3	2.7	0.0	4101221.0	8749412.4	low	low
ABHD15	ENSG00000168792	"Abhydrolase domain containing 15"	Q6UXT9	"Evidence at protein level"	"Secreted to blood"	"No annotated function"	"Cluster 5: Non-specific - Cell proliferation"	"Cluster 45: Liver - Metabolism & Coagulation"	2.5	2.4	0.2			low	low
ABHD16A	ENSG00000204427	"Abhydrolase domain containing 16A, phospholipase"	O95870	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	36.1	0.9	0.2	4238032.4	1227235.4	"not detected"	"not detected"
ABHD16B	ENSG00000183260	"Abhydrolase domain containing 16B"	Q9H3Z7	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 47: Testis - Mixed function"	1.5	0.0	0.0				
ABHD17A	ENSG00000129968	"Abhydrolase domain containing 17A, depalmitoylase"	Q96GS6	"Evidence at protein level"			"Cluster 45: Eosinophils - Unknown function"	"Cluster 68: Non-specific - Basic cellular processes"	57.2	26.0	4.0			medium	medium
ABHD17B	ENSG00000107362	"Abhydrolase domain containing 17B, depalmitoylase"	Q5VST6	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 3: Oligodendrocytes - Myelination"	12.5	21.3	0.4				
ABHD17C	ENSG00000136379	"Abhydrolase domain containing 17C, depalmitoylase"	Q6PCB6	"Evidence at protein level"				"Cluster 11: Esophagus - Basic cellular processes"	1.7	5.2	0.0			medium	medium
ABHD18	ENSG00000164074	"Abhydrolase domain containing 18"	Q0P651	"Evidence at protein level"	"Intracellular and membrane"	"No annotated function"	"Cluster 22: Eosinophils - Transcription"	"Cluster 52: Non-specific - Cellular respiration"	10.1	70.4	7.9	147677.3		low	low
ABHD2	ENSG00000140526	"Abhydrolase domain containing 2, acylglycerol lipase"	P08910	"Evidence at protein level"			"Cluster 7: Non-specific - Innate immune response"	"Cluster 45: Liver - Metabolism & Coagulation"	21.1	125.1	7.0			high	high
ABHD3	ENSG00000158201	"Abhydrolase domain containing 3, phospholipase"	Q8WU67	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 77: Intestine - Digestion"	13.6	20.7	3.4			"not detected"	"not detected"
ABHD4	ENSG00000100439	"Abhydrolase domain containing 4, N-acyl phospholipase B"	Q8TB40	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 56: Ciliated tissues - Cilium organization"	26.2	2.1	3.4			"not detected"	"not detected"
ABHD5	ENSG00000011198	"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"	Q8WTS1	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 58: Skin - Keratinization"	12.3	109.4	23.8	552994.3	739290.1	"not detected"	"not detected"
ABHD6	ENSG00000163686	"Abhydrolase domain containing 6, acylglycerol lipase"	Q9BV23	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 77: Intestine - Digestion"	4.8	1.1	0.1			medium	medium
ABHD8	ENSG00000127220	"Abhydrolase domain containing 8"	Q96I13	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 10: Brain - Synaptic signal transduction"	13.5	8.3	2.7			"not detected"	"not detected"
ABI1	ENSG00000136754	"Abl interactor 1"	Q8IZP0	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 44: Bone marrow - Nuclear processes"	18.9	93.6	14.2	2386594.3		low	low
ABI2	ENSG00000138443	"Abl interactor 2"	Q9NYB9	"Evidence at protein level"			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 65: Brain - Transcription"	6.9	52.8	1.5	141294.5		"not detected"	"not detected"
ABI3	ENSG00000108798	"ABI family member 3"	Q9P2A4	"Evidence at protein level"			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 66: Lymphoid tissue - Immune response"	3.6	0.0	0.3	2760205.8		low	low
ABI3BP	ENSG00000154175	"ABI family member 3 binding protein"	Q7Z7G0	"Evidence at protein level"	"Secreted in other tissues"	"No annotated function"		"Cluster 13: Lung - Secretion"	5.6	0.2	0.0	2407753.2			
ABITRAM	ENSG00000119328	"Actin binding transcription modulator"	Q9NX38	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 22: Epididymis - Mixed function"	12.8	14.2	0.7			medium	medium
ABL1	ENSG00000097007	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	P00519	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 12: Smooth muscle tissue - ECM organization"	27.8	63.3	2.4			medium	medium
ABL2	ENSG00000143322	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	P42684	"Evidence at protein level"				"Cluster 14: Adipose tissue - Angiogenesis"	2.7	44.5	1.6			low	low
ABLIM1	ENSG00000099204	"Actin binding LIM protein 1"	O14639	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 35: Non-specific - Mixed function"	76.2	2.0	0.0	144515718.4	52882846.0	medium	medium
ABLIM2	ENSG00000163995	"Actin binding LIM protein family member 2"	Q6H8Q1	"Evidence at protein level"				"Cluster 19: Skeletal muscle - Striated muscle contraction"	188.4	0.0	0.0	5107442.1	7248546.8	medium	medium
ABLIM3	ENSG00000173210	"Actin binding LIM protein family member 3"	O94929	"Evidence at protein level"			"Cluster 4: Neutrophils - Degranulation"	"Cluster 76: Non-specific - Metabolism"	42.1	0.0	1.6	1554084.3		low	low
ABO	ENSG00000175164	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"		"Evidence at transcript level"	"Secreted to blood"		"Cluster 20: Non-specific - DNA binding"	"Cluster 75: Ovary - Mixed function"	1.7	1.7	0.0				
ABR	ENSG00000159842	"ABR activator of RhoGEF and GTPase"	Q12979	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 68: Non-specific - Basic cellular processes"	8.1	0.3	0.0	8005361.3	390215.4	low	low
ABRA	ENSG00000174429	"Actin binding Rho activating protein"	Q8N0Z2	"Evidence at protein level"				"Cluster 30: Skeletal muscle - Striated muscle contraction"	135.7	0.4	0.0		60906.4		
ABRACL	ENSG00000146386	"ABRA C-terminal like"	Q9P1F3	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 51: Lymphoid tissue - Adaptive immune response"	2.8	31.1	5.6			"not detected"	"not detected"
ABRAXAS1	ENSG00000163322	"Abraxas 1, BRCA1 A complex subunit"	Q6UWZ7	"Evidence at protein level"			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 75: Ovary - Mixed function"	6.0	23.4	2.4			"not detected"	"not detected"
ABRAXAS2	ENSG00000165660	"Abraxas 2, BRISC complex subunit"	Q15018	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 63: Non-specific - Basic cellular processes"	17.8	27.0	4.6	896025.7	1505387.3	"not detected"	"not detected"
ABT1	ENSG00000146109	"Activator of basal transcription 1"	Q9ULW3	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 11: Esophagus - Basic cellular processes"	9.1	21.9	1.7	173504.9			
ABTB1	ENSG00000114626	"Ankyrin repeat and BTB domain containing 1"	Q969K4	"Evidence at protein level"			"Cluster 21: Neutrophils - Unknown function"	"Cluster 64: Non-specific - Transcription"	44.0	2.1	20.6			low	low
ABTB2	ENSG00000166016	"Ankyrin repeat and BTB domain containing 2"	Q8N961	"Evidence at protein level"			"Cluster 22: Eosinophils - Transcription"	"Cluster 25: Non-specific - Basic cellular processes"	15.8	5.4	1.7	68810.1		low	low
ACAA1	ENSG00000060971	"Acetyl-CoA acyltransferase 1"	P09110	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 16: Liver & Kidney - Metabolism"	47.0	22.9	2.7	6029419.5	1687751.5	low	low
ACAA2	ENSG00000167315	"Acetyl-CoA acyltransferase 2"	P42765	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 16: Liver & Kidney - Metabolism"	160.7	57.9	4.9	364473320.8	285068341.3	"not detected"	"not detected"
ACACA	ENSG00000278540	"Acetyl-CoA carboxylase alpha"	Q13085	"Evidence at protein level"			"Cluster 14: Non-specific - Unknown function"	"Cluster 68: Non-specific - Basic cellular processes"	14.3	10.3	0.2	25034199.3		medium	medium
ACACB	ENSG00000076555	"Acetyl-CoA carboxylase beta"	O00763	"Evidence at protein level"	"Intracellular and membrane"	Enzyme	"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 14: Adipose tissue - Angiogenesis"	160.4	18.7	0.4	2014755.3	10537117.5	"not detected"	"not detected"
ACAD10	ENSG00000111271	"Acyl-CoA dehydrogenase family member 10"	Q6JQN1	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 76: Non-specific - Metabolism"	12.2	15.5	0.0	1990685.3			
ACAD11	ENSG00000240303	"Acyl-CoA dehydrogenase family member 11"	Q709F0	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 16: Liver & Kidney - Metabolism"	5.3	0.0	0.0	1012795.0		medium	medium
ACAD8	ENSG00000151498	"Acyl-CoA dehydrogenase family member 8"	Q9UKU7	"Evidence at protein level"			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 76: Non-specific - Metabolism"	31.0	10.9	1.7	34755133.2	21197541.3	medium	medium
ACAD9	ENSG00000177646	"Acyl-CoA dehydrogenase family member 9"	Q9H845	"Evidence at protein level"			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 24: Non-specific - Transcription"	27.2	62.1	3.1	65470552.8	12690919.1	low	low
ACADL	ENSG00000115361	"Acyl-CoA dehydrogenase long chain"	P28330	"Evidence at protein level"				"Cluster 70: Non-specific - Protein processing"	9.0	0.0	0.2			"not detected"	"not detected"
ACADM	ENSG00000117054	"Acyl-CoA dehydrogenase medium chain"	P11310	"Evidence at protein level"			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 76: Non-specific - Metabolism"	357.2	91.7	7.7	215573677.9	202063995.8	medium	medium
ACADS	ENSG00000122971	"Acyl-CoA dehydrogenase short chain"	P16219	"Evidence at protein level"			"Cluster 13: Non-specific - Mitochondria"	"Cluster 77: Intestine - Digestion"	160.6	41.8	8.0	84171260.6	171515174.8	medium	medium
ACADSB	ENSG00000196177	"Acyl-CoA dehydrogenase short/branched chain"	P45954	"Evidence at protein level"			"Cluster 39: T-cells - T-cell receptor"	"Cluster 16: Liver & Kidney - Metabolism"	39.6	25.7	3.1	41879692.9	22276922.8	"not detected"	"not detected"
ACADVL	ENSG00000072778	"Acyl-CoA dehydrogenase very long chain"	P49748	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 52: Non-specific - Cellular respiration"	796.3	59.4	8.7	832957957.6	660250039.0	medium	medium
ACAP2	ENSG00000114331	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"	Q15057	"Evidence at protein level"			"Cluster 35: Neutrophils - Protein binding"	"Cluster 61: Non-specific - Transcription"	5.2	144.6	23.2	1380867.3		medium	medium
ACAP3	ENSG00000131584	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"	Q96P50	"Evidence at protein level"			"Cluster 25: Non-specific - Unknown function"	"Cluster 64: Non-specific - Transcription"	18.1	9.0	0.1			low	low
ACAT1	ENSG00000075239	"Acetyl-CoA acetyltransferase 1"	P24752	"Evidence at protein level"			"Cluster 33: Non-specific - ATP binding"	"Cluster 16: Liver & Kidney - Metabolism"	435.4	111.0	11.0	547742724.4	785799157.3	medium	medium
ACAT2	ENSG00000120437	"Acetyl-CoA acetyltransferase 2"	Q9BWD1	"Evidence at protein level"			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 45: Liver - Metabolism & Coagulation"	4.6	49.7	6.4	2156095.2	474945.0	low	low
ACBD3	ENSG00000182827	"Acyl-CoA binding domain containing 3"	Q9H3P7	"Evidence at protein level"			"Cluster 20: Non-specific - DNA binding"	"Cluster 63: Non-specific - Basic cellular processes"	20.2	55.9	4.1	1897978.3	175699.5	"not detected"	"not detected"
ACBD4	ENSG00000181513	"Acyl-CoA binding domain containing 4"	Q8NC06	"Evidence at protein level"			"Cluster 24: Non-specific - Transcription"	"Cluster 31: Liver - Metabolism & Coagulation"	6.5	2.9	0.4			medium	medium
ACBD5	ENSG00000107897	"Acyl-CoA binding domain containing 5"	Q5T8D3	"Evidence at protein level"			"Cluster 28: Neutrophils - Unknown function"	"Cluster 76: Non-specific - Metabolism"	29.1	21.0	2.0		200451.8	high	high
ACBD6	ENSG00000230124	"Acyl-CoA binding domain containing 6"	Q9BR61	"Evidence at protein level"			"Cluster 30: Non-specific - DNA binding"	"Cluster 39: Testis - Nuclear processes"	27.0	141.3	2.5	79354.7		"not detected"	"not detected"
ACCS	ENSG00000110455	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	Q96QU6	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 75: Ovary - Mixed function"	2.9	4.7	0.2			low	low
ACD	ENSG00000102977	"ACD shelterin complex subunit and telomerase recruitment factor"	Q96AP0	"Evidence at protein level"			"Cluster 16: Non-specific - Cell proliferation"	"Cluster 64: Non-specific - Transcription"	9.3	17.7	0.2			medium	medium
ACE	ENSG00000159640	"Angiotensin I converting enzyme"	P12821	"Evidence at protein level"	"Secreted to blood"	Enzyme	"Cluster 14: Non-specific - Unknown function"	"Cluster 7: Small intestine - Absorption and Digestion"	15.1	0.2	0.0	9911356.9		"not detected"	"not detected"
ACER2	ENSG00000177076	"Alkaline ceramidase 2"	Q5QJU3	"Evidence at protein level"				"Cluster 60: Stomach - Digestion"	1.2	11.0	0.2				
ACER3	ENSG00000078124	"Alkaline ceramidase 3"	Q9NUN7	"Evidence at protein level"			"Cluster 29: Non-specific - Unknown function"	"Cluster 3: Oligodendrocytes - Myelination"	1.3	69.2	8.5			"not detected"	"not detected"
